sample,point,target_x,target_y,target_z,rtt_ms,success,err_norm,joints_j1,joints_j2,joints_j3,joints_j4,joints_j5,joints_j6
0,A,475.0,200.0,635.0,8.824699999877339,,,19.0214,8.5319,-8.6554,93.6633,12.3923,-0.0
1,B,475.0,-200.0,635.0,13.925400000061927,,,-21.0167,10.6133,-0.8254,11.1263,-31.956,0.0
2,A,475.0,200.0,635.0,14.413800000056654,,,21.7527,8.3374,-4.2257,-14.7474,-13.811,-0.0
3,B,475.0,-200.0,635.0,12.124299999868526,,,-21.7442,8.0358,-7.611,56.9875,-4.1886,-0.0
4,A,475.0,200.0,635.0,15.460000000075524,,,19.726,8.3306,-7.4865,109.7293,10.6913,-0.0
5,B,475.0,-200.0,635.0,17.12679999991451,,,-20.669,8.5608,-3.997,25.5603,-16.3787,0.0
6,A,475.0,200.0,635.0,11.87789999994493,,,22.3834,7.9956,-7.0229,-20.4171,-4.1609,-0.0
7,B,475.0,-200.0,635.0,14.127800000096613,,,-22.976,8.0876,-9.0671,13.7546,1.9294,-0.0
8,A,475.0,200.0,635.0,8.815700000013749,,,18.7792,8.655,-9.5058,84.224,13.2329,0.0
9,B,475.0,-200.0,635.0,12.010899999950198,,,-17.5532,9.1162,-6.3816,61.338,-19.7457,-0.0
10,A,475.0,200.0,635.0,13.442899999972724,,,24.3267,8.0791,-6.5491,40.8347,-7.3748,0.0
11,B,475.0,-200.0,635.0,19.658000000163156,,,-22.7486,9.2675,-1.8952,0.6881,-23.474,0.0
12,A,475.0,200.0,635.0,13.965200000257028,,,20.6509,8.2523,-5.5788,-38.0736,-11.4753,-0.0
13,B,475.0,-200.0,635.0,13.43799999995099,,,-18.1852,9.3193,-4.2815,-136.9556,22.4855,0.0
14,A,475.0,200.0,635.0,14.940800000204035,,,22.5418,8.048,-8.5766,-120.1501,-1.0872,-0.0
15,B,475.0,-200.0,635.0,13.65010000017719,,,-23.5759,8.0645,-8.5957,-102.9504,-2.4543,-0.0
16,A,475.0,200.0,635.0,36.276799999996,,,19.8742,11.6128,-0.669,-16.1156,-36.8089,0.0
17,B,475.0,-200.0,635.0,11.890000000221335,,,-21.5768,8.2793,-4.5719,18.5996,-12.7981,0.0
18,A,475.0,200.0,635.0,14.665100000001985,,,22.1819,8.005,-6.8682,-25.5844,-4.8673,-0.0
19,B,475.0,-200.0,635.0,12.021999999888067,,,-21.0598,8.2345,-9.5467,-63.7665,6.3821,-0.0
20,A,475.0,200.0,635.0,16.14500000005137,,,20.0913,9.2672,-2.652,-23.1935,-23.0371,0.0
21,B,475.0,-200.0,635.0,12.658999999985099,,,-22.0413,8.0246,-6.4392,24.0511,-6.2747,0.0
22,A,475.0,200.0,635.0,13.563200000135112,,,22.6758,8.0808,-8.9936,16.8611,1.753,0.0
23,B,475.0,-200.0,635.0,15.339099999891914,,,-23.2139,8.0496,-8.5714,66.7812,1.3331,0.0
24,A,475.0,200.0,635.0,11.443399999734538,,,20.8163,8.1609,-8.3046,95.5027,6.5412,0.0
